Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Season,Efficiency,TS%,PIE,PIE_scaled
T66,Brook Lopez,C,BKN,23,2012,2014,4,"$60,825,938 ","$15,206,485 ",,"$80,721,530.09 ",20180382.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T68,Al Horford,C,ATL,24,2011,2015,5,"$60,000,000 ","$12,000,000 ",Rookie Extension,"$81,289,461.98 ",16257892.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T68,Joakim Noah,C,CHI,25,2011,2015,5,"$60,000,000 ","$12,000,000 ",Rookie Extension,"$81,289,461.98 ",16257892.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T68,Andrew Bogut,C,MIL,24,2009,2013,5,"$60,000,000 ","$12,000,000 ",Rookie Extension,"$85,230,769.23 ",17046153.85,2008-09,101106.0,Andrew Bogut,Andrew,1610612749.0,MIL,24.0,36.0,19.0,17.0,0.528,31.2,5.1,8.8,0.577,0.0,0.0,0.0,1.6,2.7,0.571,3.3,7.0,10.3,2.0,2.4,0.6,1.0,0.7,3.6,3.9,11.7,2.5,29.6,16.0,0.0,27.3,337.0,282.0,316.0,182.0,107.0,101.0,139.0,23.0,304.0,373.0,304.0,166.0,123.0,375.0,8.0,14.0,9.0,140.0,37.0,188.0,51.0,86.0,6.0,42.0,125.0,66.0,79.0,42.0,15.0,87.0,2008-09,18.4,0.5857028434120944,5.411872943341219e-05,52.33644859813083
T68,Eddy Curry,C,NYK,23,2005,2010,6,"$60,000,000 ","$10,000,000 ",,"$93,609,831.03 ",15601638.51,2004-05,2201.0,Eddy Curry,Eddy,1610612741.0,CHI,22.0,63.0,37.0,26.0,0.587,28.8,6.2,11.6,0.538,0.0,0.0,0.0,3.6,5.0,0.72,1.8,3.5,5.4,0.6,2.6,0.3,0.9,0.9,3.2,0.0,16.1,-1.2,24.6,6.0,0.0,24.5,227.0,137.0,238.0,120.0,121.0,49.0,74.0,22.0,301.0,384.0,301.0,48.0,43.0,280.0,80.0,109.0,93.0,343.0,25.0,341.0,56.0,32.0,28.0,31.0,53.0,297.0,104.0,91.0,14.0,88.0,2004-05,13.900000000000004,0.5833333333333334,4.0589047075059156e-05,41.58878504672897
T68,Nene Hilario,C,DEN,23,2006,2010,6,"$60,000,000 ","$10,000,000 ",,"$90,684,523.81 ",15114087.3,2005-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T68,Nikola Pekovic,C,MIN,26,2013,2017,5,"$60,000,000 ","$12,000,000 ",,"$78,497,209.10 ",15699441.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T68,Marcin Gortat,C,WAS,29,2014,2018,5,"$60,000,000 ","$12,000,000 ",,"$77,237,008.87 ",15447401.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T68,Mitchell Robinson,C,NYK,24,2022,2025,4,"$60,000,000 ","$15,000,000 ",Free Agent,"$63,589,565.22 ",15897391.3,2021-22,1629011.0,Mitchell Robinson,Mitchell,1610612752.0,NYK,24.0,72.0,32.0,40.0,0.444,25.7,3.6,4.8,0.761,0.0,0.0,0.0,1.2,2.5,0.486,4.1,4.5,8.6,0.5,0.8,0.8,1.8,0.4,2.7,2.0,8.5,-1.1,26.7,20.0,0.0,22.9,78.0,177.0,57.0,376.0,169.0,189.0,349.0,5.0,514.0,562.0,514.0,218.0,112.0,522.0,3.0,77.0,26.0,473.0,291.0,175.0,6.0,238.0,43.0,147.0,235.0,362.0,110.0,35.0,40.0,144.0,2021-22,16.900000000000002,0.7203389830508474,4.970687649047098e-05,48.83177570093457
T68,Nikola Vucevic,C,CHI,32,2023,2025,3,"$60,000,000 ","$20,000,000 ",Veteran Extension,"$61,102,941.18 ",20367647.06,2022-23,202696.0,Nikola Vucevic,Nikola,1610612741.0,CHI,32.0,82.0,40.0,42.0,0.488,33.5,7.3,14.0,0.52,1.5,4.2,0.349,1.6,1.9,0.835,1.9,9.1,11.0,3.2,1.7,0.7,0.7,0.5,2.2,2.1,17.6,-0.2,38.3,51.0,1.0,36.2,2.0,74.0,42.0,301.0,52.0,56.0,66.0,115.0,137.0,129.0,253.0,157.0,182.0,142.0,52.0,4.0,8.0,113.0,107.0,175.0,73.0,131.0,141.0,131.0,71.0,269.0,40.0,3.0,17.0,47.0,2022-23,24.500000000000004,0.5931517929361014,7.206026473470646e-05,66.58878504672896
T68,Isaiah Stewart,C,DET,22,2024,2027,4,"$60,000,000 ","$15,000,000 ",Rookie Extension,"$60,000,000.00 ",15000000.0,2023-24,1630191.0,Isaiah Stewart,Isaiah,1610612765.0,DET,23.0,46.0,9.0,37.0,0.196,30.9,4.0,8.3,0.487,1.5,3.8,0.383,1.4,1.8,0.753,1.6,5.0,6.6,1.6,1.4,0.4,0.8,0.4,2.2,1.8,10.9,-2.9,23.4,5.0,0.0,23.0,315.0,412.0,86.0,514.0,87.0,163.0,168.0,176.0,144.0,144.0,147.0,168.0,170.0,303.0,72.0,54.0,56.0,240.0,130.0,378.0,63.0,249.0,121.0,149.0,160.0,461.0,159.0,104.0,38.0,152.0,2023-24,14.2,0.5994280686317641,4.1765541193176805e-05,42.523364485981304
78,Roy Hibbert,C,IND,25,2012,2015,4,"$58,443,748 ","$14,610,937 ",,"$77,560,148.15 ",19390037.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Omer Asik,C,NOP,28,2015,2019,5,"$57,977,525 ","$11,595,505 ",,"$74,539,037.42 ",14907807.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Marc Gasol,C,MEM,25,2011,2014,4,"$57,503,764 ","$14,375,941 ",,"$77,907,500.63 ",19476875.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Andrew Bynum,C,LAL,21,2009,2012,4,"$57,200,000 ","$14,300,000 ",Rookie Extension,"$81,253,333.33 ",20313333.33,2008-09,101115.0,Andrew Bynum,Andrew,1610612747.0,LAL,21.0,50.0,40.0,10.0,0.8,28.9,5.6,10.0,0.56,0.0,0.0,0.0,3.0,4.3,0.707,2.7,5.2,8.0,1.4,1.7,0.4,1.8,0.7,3.1,3.3,14.3,4.7,30.7,16.0,0.0,28.0,296.0,114.0,376.0,18.0,134.0,69.0,110.0,36.0,304.0,373.0,304.0,72.0,60.0,297.0,21.0,44.0,36.0,194.0,107.0,309.0,11.0,74.0,23.0,67.0,82.0,24.0,68.0,42.0,15.0,83.0,2008-09,18.5,0.6012445341405988,5.4118729433412183e-05,52.33644859813083
82,Pau Gasol,C,LAL,30,2011,2013,3,"$57,000,000 ","$19,000,000 ",Veteran Extension,"$77,224,988.88 ",25741662.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Cody Zeller,C,CHA,24,2017,2020,4,"$56,000,000 ","$14,000,000 ",Rookie Extension,"$69,617,299.06 ",17404324.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Tyson Chandler,C,DAL,28,2011,2014,4,"$55,409,450 ","$13,852,363 ",,"$75,070,072.99 ",18767518.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Victor Wembanyama,C,SAS,18,2023,2026,4,"$55,174,766 ","$13,793,692 ",Rookie,"$56,189,008.02 ",14047252.01,2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T88,Marcus Camby,C,DEN,29,2004,2009,6,"$55,000,000 ","$9,166,667 ",,"$88,716,251.99 ",14786042.0,2003-04,948.0,Marcus Camby,Marcus,1610612743.0,DEN,30.0,72.0,36.0,36.0,0.5,30.1,3.6,7.6,0.477,0.0,0.0,0.0,1.4,1.9,0.721,2.9,7.2,10.1,1.8,1.4,1.2,2.6,0.3,3.3,0.0,8.6,1.0,33.5,19.0,0.0,28.2,147.0,133.0,131.0,194.0,108.0,135.0,148.0,85.0,289.0,327.0,289.0,175.0,174.0,263.0,17.0,15.0,12.0,162.0,159.0,56.0,5.0,245.0,20.0,43.0,153.0,118.0,38.0,31.0,19.0,66.0,2003-04,18.400000000000002,0.5097202465623518,5.4118729433412204e-05,52.33644859813084
T88,Zydrunas Ilgauskas,C,CLE,30,2005,2009,5,"$55,000,000 ","$11,000,000 ",,"$85,809,011.78 ",17161802.36,2004-05,980.0,Zydrunas Ilgauskas,Zydrunas,1610612739.0,CLE,30.0,78.0,40.0,38.0,0.513,33.5,5.9,12.6,0.468,0.0,0.1,0.286,5.2,6.4,0.799,3.8,4.8,8.6,1.3,2.4,0.7,2.1,1.0,4.0,0.0,16.9,1.6,35.1,24.0,0.0,32.4,82.0,102.0,95.0,228.0,70.0,56.0,61.0,126.0,282.0,312.0,223.0,20.0,24.0,137.0,2.0,57.0,29.0,222.0,37.0,184.0,8.0,28.0,3.0,81.0,47.0,84.0,36.0,22.0,14.0,38.0,2004-05,19.300000000000004,0.548131811105345,5.676584119917693e-05,54.43925233644859
90,Robin Lopez,C,NYK,26,2015,2018,4,"$54,015,500 ","$13,503,875 ",,"$69,445,244.09 ",17361311.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
