Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Season,Efficiency,TS%,PIE,PIE_scaled
1,Jayson Tatum,PF,BOS,26,2025,2029,5,"$313,933,410 ","$62,786,682 ",Designated Veteran Extension,"$313,933,410.00 ",62786682.0,2023-24,1628369.0,Jayson Tatum,Jayson,1610612738.0,BOS,26.0,74.0,57.0,17.0,0.77,35.7,9.1,19.3,0.471,3.1,8.2,0.376,5.6,6.7,0.833,0.9,7.2,8.1,4.9,2.5,1.0,0.6,0.8,2.0,4.6,26.9,8.2,46.2,25.0,0.0,46.2,87.0,4.0,359.0,29.0,11.0,16.0,11.0,217.0,15.0,12.0,163.0,11.0,14.0,147.0,198.0,17.0,33.0,58.0,36.0,78.0,133.0,67.0,166.0,24.0,8.0,3.0,10.0,22.0,38.0,9.0,2023-24,27.699999999999996,0.6045487234807623,8.147221767964771e-05,74.06542056074765
2,Giannis Antetokounmpo,PF,MIL,26,2021,2025,5,"$228,200,420 ","$45,640,084 ",Designated Veteran Extension,"$255,917,070.20 ",51183414.04,2020-21,203507.0,Giannis Antetokounmpo,Giannis,1610612749.0,MIL,26.0,61.0,40.0,21.0,0.656,33.0,10.3,18.0,0.569,1.1,3.6,0.303,6.5,9.5,0.685,1.6,9.4,11.0,5.9,3.4,1.2,1.2,0.9,2.8,7.7,28.1,6.7,53.9,41.0,7.0,50.9,124.0,48.0,268.0,99.0,47.0,4.0,20.0,50.0,202.0,173.0,348.0,6.0,2.0,395.0,71.0,6.0,9.0,30.0,14.0,45.0,26.0,44.0,35.0,1.0,5.0,10.0,3.0,8.0,6.0,2.0,2020-21,33.300000000000004,0.633453561767358,9.794313533329493e-05,87.14953271028038
3,Scottie Barnes,PF,TOR,22,2025,2029,5,"$224,237,860 ","$44,847,572 ",Designated Rookie Extension,"$224,237,860.00 ",44847572.0,2023-24,1630567.0,Scottie Barnes,Scottie,1610612761.0,TOR,22.0,60.0,22.0,38.0,0.367,34.9,7.5,15.7,0.475,1.7,4.9,0.341,3.3,4.2,0.781,2.4,5.9,8.2,6.1,2.8,1.3,1.5,0.8,2.0,3.6,19.9,-2.4,44.2,25.0,4.0,41.3,215.0,276.0,77.0,414.0,25.0,50.0,48.0,207.0,110.0,100.0,284.0,51.0,47.0,257.0,34.0,35.0,31.0,27.0,23.0,32.0,15.0,72.0,164.0,45.0,51.0,432.0,19.0,22.0,7.0,25.0,2023-24,25.09999999999999,0.5670161841805335,7.411912944141237e-05,68.22429906542057
4,Zion Williamson,PF,NOP,22,2023,2027,5,"$197,230,450 ","$39,446,090 ",Designated Rookie Extension,"$200,856,009.74 ",40171201.95,2022-23,1629627.0,Zion Williamson,Zion,1610612740.0,NOP,22.0,29.0,17.0,12.0,0.586,33.0,9.8,16.2,0.608,0.2,0.7,0.368,6.1,8.6,0.714,2.0,5.0,7.0,4.6,3.4,1.1,0.6,1.5,2.2,6.4,26.0,5.1,42.8,5.0,0.0,41.1,406.0,347.0,418.0,135.0,59.0,12.0,44.0,46.0,423.0,439.0,188.0,12.0,8.0,359.0,44.0,63.0,48.0,63.0,9.0,55.0,111.0,2.0,129.0,6.0,16.0,17.0,23.0,105.0,39.0,28.0,2022-23,27.000000000000007,0.6505204163330666,7.941335297294183e-05,72.42990654205607
5,Pascal Siakam,PF,IND,30,2024,2027,4,"$188,950,272 ","$47,237,568 ",Free Agent,"$188,950,272.00 ",47237568.0,2023-24,1627783.0,Pascal Siakam,Pascal,1610612754.0,IND,30.0,80.0,38.0,42.0,0.475,33.2,8.5,15.9,0.536,1.1,3.1,0.346,3.6,5.0,0.732,1.7,5.3,7.1,4.3,1.8,0.8,0.3,0.6,2.4,4.1,21.7,1.4,38.1,15.0,1.0,36.3,23.0,124.0,49.0,339.0,53.0,26.0,45.0,95.0,213.0,203.0,279.0,41.0,35.0,347.0,66.0,48.0,47.0,75.0,86.0,173.0,272.0,135.0,73.0,37.0,38.0,147.0,45.0,45.0,16.0,48.0,2023-24,23.59999999999999,0.5994475138121547,6.911902943941232e-05,64.25233644859813
6,Domantas Sabonis,PF,SAC,27,2024,2027,4,"$186,016,000 ","$46,504,000 ",Veteran Extension,"$186,016,000.00 ",46504000.0,2023-24,1627734.0,Domantas Sabonis,Domantas,1610612758.0,SAC,28.0,82.0,46.0,36.0,0.561,35.7,7.7,13.0,0.594,0.4,1.1,0.379,3.6,5.1,0.704,3.6,10.1,13.7,8.2,3.3,0.9,0.6,1.0,3.0,4.6,19.4,0.8,49.3,77.0,26.0,44.7,2.0,52.0,99.0,248.0,12.0,43.0,77.0,49.0,374.0,409.0,156.0,44.0,31.0,381.0,5.0,1.0,1.0,7.0,11.0,123.0,130.0,28.0,14.0,25.0,58.0,181.0,8.0,1.0,1.0,13.0,2023-24,32.7,0.6363159275780634,9.617839415611842e-05,85.74766355140186
7,Tobias Harris,PF,PHI,26,2019,2023,5,"$180,000,000 ","$36,000,000 ",maximum,"$214,493,547.13 ",42898709.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Giannis Antetokounmpo,PF,MIL,28,2025,2027,3,"$175,369,471 ","$58,456,490 ",Maximum Veteran Extension,"$175,369,471.00 ",58456490.33,2023-24,203507.0,Giannis Antetokounmpo,Giannis,1610612749.0,MIL,29.0,73.0,45.0,28.0,0.616,35.2,11.5,18.8,0.611,0.5,1.7,0.274,7.0,10.7,0.657,2.7,8.8,11.5,6.5,3.4,1.2,1.1,1.2,2.9,8.3,30.4,4.6,57.4,57.0,10.0,53.5,99.0,66.0,193.0,150.0,21.0,3.0,19.0,37.0,351.0,332.0,417.0,3.0,2.0,441.0,19.0,5.0,6.0,18.0,8.0,45.0,32.0,14.0,26.0,1.0,3.0,41.0,4.0,4.0,4.0,3.0,2023-24,36.300000000000004,0.6465883954398502,0.00010676684121917734,94.1588785046729
9,Jayson Tatum,PF,BOS,22,2021,2025,5,"$163,000,300 ","$32,600,060 ",Designated Rookie Extension,"$182,797,907.29 ",36559581.46,2020-21,1628369.0,Jayson Tatum,Jayson,1610612738.0,BOS,23.0,64.0,34.0,30.0,0.531,35.8,9.5,20.6,0.459,2.9,7.6,0.386,4.6,5.3,0.868,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.0,1.9,4.2,26.4,2.5,44.1,15.0,1.0,44.4,89.0,100.0,115.0,223.0,10.0,10.0,3.0,221.0,21.0,20.0,144.0,23.0,29.0,90.0,206.0,27.0,38.0,67.0,38.0,46.0,161.0,36.0,193.0,35.0,11.0,81.0,19.0,30.0,17.0,16.0,2020-21,25.299999999999997,0.575614861329147,7.441325297094177e-05,68.45794392523364
10,Jerami Grant,PF,POR,29,2023,2027,5,"$160,000,000 ","$32,000,000 ",Free Agent,"$162,941,176.47 ",32588235.29,2022-23,203924.0,Jerami Grant,Jerami,1610612757.0,POR,29.0,63.0,28.0,35.0,0.444,35.6,6.9,14.5,0.475,2.3,5.7,0.401,4.4,5.4,0.813,0.8,3.7,4.5,2.4,1.8,0.8,0.8,0.9,2.4,4.4,20.5,-0.6,32.5,2.0,0.0,32.9,189.0,230.0,100.0,365.0,16.0,62.0,63.0,218.0,50.0,58.0,82.0,34.0,30.0,183.0,211.0,120.0,138.0,161.0,92.0,145.0,52.0,39.0,93.0,30.0,48.0,297.0,72.0,155.0,39.0,64.0,2022-23,18.599999999999998,0.6073714150272576,5.470697649247102e-05,52.803738317756995
11,Kristaps Porzingis,PF,DAL,23,2019,2023,5,"$158,253,000 ","$31,650,600 ",maximum,"$188,579,151.74 ",37715830.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LeBron James,PF,LAL,33,2018,2021,4,"$153,312,846 ","$38,328,212 ",maximum,"$186,039,124.56 ",46509781.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pascal Siakam,PF,TOR,25,2020,2023,4,"$136,905,216 ","$34,226,304 ",rookie-maximum-extension,"$161,186,318.84 ",40296579.71,2019-20,1627783.0,Pascal Siakam,Pascal,1610612761.0,TOR,26.0,60.0,46.0,14.0,0.767,35.2,8.3,18.4,0.453,2.2,6.1,0.359,4.0,5.1,0.792,1.1,6.3,7.3,3.5,2.5,1.0,0.9,1.0,2.8,3.9,22.9,6.6,40.0,12.0,0.0,39.6,151.0,21.0,352.0,26.0,11.0,20.0,16.0,220.0,51.0,49.0,185.0,29.0,33.0,213.0,138.0,25.0,38.0,82.0,44.0,80.0,54.0,29.0,49.0,41.0,20.0,11.0,27.0,41.0,29.0,21.0,2019-20,21.900000000000006,0.5546405735322611,6.470717649647111e-05,60.74766355140187
14,Jaden McDaniels,PF,MIN,23,2024,2028,5,"$131,000,000 ","$26,200,000 ",Rookie Extension,"$131,000,000.00 ",26200000.0,2023-24,1630183.0,Jaden McDaniels,Jaden,1610612750.0,MIN,23.0,72.0,48.0,24.0,0.667,29.2,4.3,8.7,0.489,1.2,3.5,0.337,0.8,1.1,0.722,0.8,2.3,3.1,1.4,1.2,0.9,0.6,0.4,3.0,1.3,10.5,2.2,19.5,0.0,0.0,19.1,108.0,36.0,263.0,76.0,110.0,151.0,153.0,171.0,188.0,172.0,292.0,280.0,278.0,360.0,235.0,263.0,272.0,268.0,177.0,139.0,131.0,240.0,15.0,215.0,167.0,109.0,210.0,257.0,38.0,206.0,2023-24,10.600000000000001,0.5716463414634146,3.11770941301179e-05,34.112149532710276
16,John Collins,PF,ATL,23,2021,2025,5,"$125,000,000 ","$25,000,000 ",Free Agent,"$140,182,186.23 ",28036437.25,2020-21,1628381.0,John Collins,John,1610612737.0,ATL,23.0,63.0,34.0,29.0,0.54,29.3,6.8,12.2,0.556,1.3,3.3,0.399,2.7,3.2,0.833,1.9,5.5,7.4,1.2,1.3,0.5,1.0,0.8,3.1,3.1,17.6,2.9,31.7,16.0,0.0,30.7,99.0,100.0,129.0,211.0,111.0,55.0,90.0,60.0,167.0,193.0,101.0,64.0,71.0,145.0,49.0,43.0,36.0,300.0,148.0,297.0,47.0,58.0,19.0,62.0,60.0,63.0,73.0,26.0,29.0,71.0,2020-21,20.5,0.6466784244562024,6.029532355352989e-05,57.2429906542056
17,Carmelo Anthony,PF,NYK,29,2014,2018,5,"$124,064,681 ","$24,812,936 ",maximum,"$159,706,414.45 ",31941282.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tim Duncan,PF,SAS,26,2003,2009,7,"$122,007,706 ","$17,429,672 ",,"$202,042,108.79 ",28863158.4,2002-03,1495.0,Tim Duncan,Tim,1610612759.0,SAS,27.0,81.0,60.0,21.0,0.741,39.3,8.8,17.2,0.513,0.1,0.3,0.273,5.6,7.8,0.71,3.2,9.7,12.9,3.9,3.1,0.7,2.9,1.3,2.9,0.0,23.3,6.8,52.3,58.0,1.0,47.3,47.0,1.0,284.0,20.0,18.0,7.0,23.0,32.0,230.0,236.0,214.0,11.0,6.0,270.0,5.0,3.0,3.0,50.0,14.0,179.0,3.0,7.0,61.0,111.0,7.0,3.0,4.0,2.0,8.0,5.0,2002-03,30.0,0.5646568437378829,8.823705885882423e-05,79.43925233644858
19,Chris Bosh,PF,MIA,29,2014,2018,5,"$118,705,300 ","$23,741,060 ",maximum,"$152,807,371.82 ",30561474.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Rashard Lewis,PF,ORL,27,2007,2012,6,"$118,200,000 ","$19,700,000 ",Free Agent,"$173,736,324.17 ",28956054.03,2006-07,1740.0,Rashard Lewis,Rashard,1610612760.0,SEA,27.0,60.0,23.0,37.0,0.383,39.1,7.7,16.8,0.461,2.5,6.5,0.39,4.4,5.3,0.841,1.5,5.1,6.6,2.4,2.0,1.1,0.7,0.7,2.4,4.3,22.4,-0.5,37.3,13.0,0.0,37.5,243.0,265.0,119.0,335.0,12.0,22.0,17.0,171.0,6.0,6.0,58.0,31.0,39.0,75.0,97.0,42.0,55.0,121.0,84.0,54.0,80.0,69.0,159.0,38.0,18.0,224.0,34.0,49.0,17.0,24.0,2006-07,21.200000000000003,0.585406648546937,6.235418826023579e-05,58.87850467289718
21,Julius Randle,PF,NYK,26,2022,2025,4,"$117,089,280 ","$29,272,320 ",Veteran Extension,"$124,094,273.45 ",31023568.36,2021-22,203944.0,Julius Randle,Julius,1610612752.0,NYK,27.0,72.0,32.0,40.0,0.444,35.3,7.1,17.3,0.411,1.7,5.4,0.308,4.2,5.6,0.756,1.7,8.2,9.9,5.1,3.4,0.7,0.5,0.9,2.8,4.6,20.1,-2.3,40.2,31.0,1.0,39.4,78.0,177.0,57.0,376.0,20.0,39.0,28.0,391.0,117.0,80.0,358.0,28.0,25.0,298.0,65.0,11.0,17.0,46.0,13.0,202.0,129.0,33.0,31.0,25.0,38.0,449.0,28.0,18.0,21.0,26.0,2021-22,21.300000000000004,0.5085003035822708,6.26483117897652e-05,59.112149532710276
22,Chris Webber,PF,SAC,27,2001,2007,7,"$116,287,500 ","$16,612,500 ",,"$200,072,282.61 ",28581754.66,2000-01,185.0,Chris Webber,Chris,1610612758.0,SAC,28.0,70.0,48.0,22.0,0.686,40.5,11.2,23.4,0.481,0.0,0.4,0.071,4.6,6.6,0.703,2.6,8.5,11.1,4.2,2.8,1.3,1.7,1.3,3.2,0.0,27.1,5.3,53.0,50.0,1.0,48.5,168.0,53.0,286.0,43.0,10.0,1.0,3.0,82.0,259.0,220.0,290.0,16.0,12.0,273.0,28.0,8.0,9.0,49.0,27.0,41.0,21.0,8.0,28.0,112.0,6.0,10.0,2.0,5.0,11.0,2.0,2000-01,28.400000000000002,0.5151307785888078,8.353108238635361e-05,75.70093457943923
T23,LeBron James,PF,CLE,25,2010,2013,6,"$109,837,500 ","$18,306,250 ",sign-and-trade,"$153,450,189.13 ",25575031.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T23,Chris Bosh,PF,TOR,25,2010,2013,6,"$109,837,500 ","$18,306,250 ",sign-and-trade,"$153,450,189.13 ",25575031.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jaren Jackson Jr.,PF,MEM,22,2022,2025,4,"$104,720,000 ","$26,180,000 ",Rookie Extension,"$110,984,987.83 ",27746246.96,2021-22,1628991.0,Jaren Jackson Jr.,Jaren,1610612763.0,MEM,22.0,78.0,53.0,25.0,0.679,27.3,5.5,13.3,0.415,1.6,5.1,0.319,3.6,4.4,0.823,1.5,4.3,5.8,1.1,1.7,0.9,2.3,1.3,3.5,3.6,16.3,4.6,32.9,7.0,0.0,31.3,20.0,5.0,245.0,74.0,152.0,92.0,71.0,379.0,120.0,96.0,321.0,39.0,41.0,178.0,91.0,86.0,73.0,334.0,99.0,120.0,2.0,11.0,4.0,43.0,73.0,31.0,62.0,74.0,40.0,68.0,2021-22,16.1,0.5349173011289052,4.735388825423567e-05,46.962616822429894
27,LeBron James,PF,LAL,39,2024,2025,2,"$101,355,998 ","$50,677,999 ",maximum,"$101,355,998.00 ",50677999.0,2023-24,2544.0,LeBron James,LeBron,1610612747.0,LAL,39.0,71.0,41.0,30.0,0.577,35.3,9.6,17.9,0.54,2.1,5.1,0.41,4.3,5.7,0.75,0.9,6.4,7.3,8.3,3.5,1.3,0.5,0.8,1.1,4.3,25.7,3.1,48.8,27.0,5.0,46.9,118.0,97.0,168.0,215.0,20.0,10.0,26.0,86.0,67.0,88.0,68.0,27.0,22.0,307.0,213.0,24.0,43.0,6.0,7.0,31.0,153.0,64.0,390.0,28.0,16.0,78.0,9.0,21.0,6.0,8.0,2023-24,29.9,0.6296550372402979,8.794293532929482e-05,79.20560747663549
T28,Draymond Green,PF,GSW,33,2023,2026,4,"$100,000,000 ","$25,000,000 ",Free Agent,"$101,838,235.29 ",25459558.82,2022-23,203110.0,Draymond Green,Draymond,1610612744.0,GSW,33.0,73.0,41.0,32.0,0.562,31.5,3.4,6.5,0.527,0.5,1.8,0.305,1.1,1.5,0.713,0.9,6.3,7.2,6.8,2.8,1.0,0.8,0.3,3.1,2.0,8.5,4.7,30.1,11.0,0.0,26.7,92.0,65.0,156.0,166.0,84.0,211.0,233.0,108.0,334.0,323.0,373.0,239.0,233.0,360.0,190.0,29.0,46.0,18.0,34.0,78.0,53.0,305.0,23.0,141.0,229.0,26.0,92.0,56.0,39.0,107.0,2022-23,18.0,0.5935754189944134,5.294223531529454e-05,51.4018691588785
T28,Giannis Antetokounmpo,PF,MIL,22,2017,2020,4,"$100,000,000 ","$25,000,000 ",Rookie Extension,"$124,316,605.47 ",31079151.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T28,Kevin Garnett,PF,MIN,27,2004,2008,5,"$100,000,000 ","$20,000,000 ",Veteran Extension,"$161,302,276.34 ",32260455.27,2003-04,708.0,Kevin Garnett,Kevin,1610612750.0,MIN,28.0,82.0,58.0,24.0,0.707,39.5,9.8,19.6,0.499,0.1,0.5,0.256,4.5,5.7,0.791,3.0,10.9,13.9,5.0,2.6,1.5,2.2,0.5,2.5,0.0,24.2,7.5,56.7,71.0,2.0,50.5,3.0,4.0,262.0,38.0,11.0,1.0,6.0,43.0,219.0,216.0,227.0,18.0,22.0,137.0,13.0,1.0,1.0,32.0,34.0,28.0,11.0,133.0,114.0,79.0,4.0,3.0,1.0,1.0,3.0,1.0,2003-04,33.199999999999996,0.5473131897955491,9.76490118037655e-05,86.91588785046729
31,LeBron James,PF,CLE,31,2016,2017,3,"$99,857,127 ","$33,285,709 ",maximum,"$126,776,944.15 ",42258981.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amar'e Stoudemire,PF,PHX,27,2010,2014,5,"$99,743,996 ","$19,948,799 ",,"$139,348,902.25 ",27869780.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Draymond Green,PF,GSW,29,2020,2023,4,"$99,666,362 ","$24,916,591 ",Veteran Extension,"$117,342,892.20 ",29335723.05,2019-20,203110.0,Draymond Green,Draymond,1610612744.0,GSW,30.0,43.0,10.0,33.0,0.233,28.4,2.9,7.3,0.389,0.8,3.0,0.279,1.5,1.9,0.759,0.5,5.7,6.2,6.2,2.3,1.4,0.8,0.3,2.6,1.9,8.0,-4.5,28.9,8.0,2.0,25.5,299.0,372.0,111.0,492.0,120.0,248.0,200.0,426.0,248.0,198.0,370.0,174.0,169.0,265.0,290.0,37.0,70.0,25.0,57.0,29.0,71.0,285.0,82.0,145.0,233.0,493.0,89.0,70.0,12.0,107.0,2019-20,15.499999999999996,0.4916420845624386,4.5589147077059184e-05,45.560747663551396
34,LeBron James,PF,LAL,37,2023,2024,2,"$99,023,288 ","$49,511,644 ",Maximum Veteran Extension,"$100,843,569.03 ",50421784.52,2022-23,2544.0,LeBron James,LeBron,1610612747.0,LAL,38.0,55.0,30.0,25.0,0.545,35.5,11.1,22.2,0.5,2.2,6.9,0.321,4.6,5.9,0.768,1.2,7.1,8.3,6.8,3.2,0.9,0.6,0.9,1.6,5.0,28.9,3.9,50.3,18.0,2.0,49.2,267.0,207.0,268.0,195.0,21.0,2.0,1.0,155.0,56.0,36.0,344.0,32.0,25.0,261.0,123.0,14.0,34.0,19.0,17.0,111.0,101.0,41.0,284.0,20.0,9.0,38.0,7.0,35.0,11.0,8.0,2022-23,29.899999999999995,0.5827552831101791,8.794293532929483e-05,79.2056074766355
35,Harrison Barnes,PF,DAL,23,2016,2019,4,"$94,438,525 ","$23,609,631 ",maximum,"$119,897,577.36 ",29974394.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Kenyon Martin,PF,DEN,26,2004,2010,7,"$91,000,000 ","$13,000,000 ",,"$146,785,071.47 ",20969295.92,2003-04,2030.0,Kenyon Martin,Kenyon,1610612751.0,NJN,26.0,65.0,41.0,24.0,0.631,34.7,6.8,13.8,0.488,0.1,0.4,0.28,3.1,4.5,0.684,2.0,7.4,9.5,2.5,2.6,1.5,1.3,1.0,3.5,0.0,16.7,3.0,37.4,27.0,0.0,34.2,204.0,84.0,262.0,98.0,62.0,31.0,49.0,63.0,224.0,227.0,210.0,59.0,47.0,295.0,63.0,11.0,16.0,106.0,35.0,29.0,33.0,34.0,6.0,35.0,47.0,45.0,25.0,21.0,19.0,26.0,2003-04,20.5,0.5291508238276299,6.0001200024000486e-05,57.009345794392516
T37,Kyle Kuzma,PF,WAS,27,2023,2026,4,"$90,000,000 ","$22,500,000 ",Free Agent,"$91,654,411.76 ",22913602.94,2022-23,1628398.0,Kyle Kuzma,Kyle,1610612764.0,WAS,27.0,64.0,29.0,35.0,0.453,35.0,8.0,17.8,0.448,2.5,7.5,0.333,2.7,3.7,0.73,0.9,6.4,7.2,3.7,3.0,0.6,0.5,0.9,2.3,2.8,21.2,0.2,35.6,14.0,1.0,36.7,181.0,220.0,100.0,356.0,28.0,34.0,29.0,291.0,38.0,22.0,315.0,76.0,69.0,335.0,204.0,27.0,43.0,90.0,24.0,266.0,151.0,33.0,121.0,86.0,40.0,222.0,55.0,46.0,17.0,43.0,2022-23,19.400000000000002,0.5456042824788964,5.735408825823575e-05,54.906542056074755
T37,Patrick Williams,PF,CHI,22,2024,2028,5,"$90,000,000 ","$18,000,000 ",Free Agent,"$90,000,000.00 ",18000000.0,2023-24,1630172.0,Patrick Williams,Patrick,1610612741.0,CHI,22.0,43.0,19.0,24.0,0.442,27.3,3.7,8.3,0.443,1.4,3.4,0.399,1.2,1.5,0.788,1.1,2.8,3.9,1.5,1.3,0.9,0.8,0.7,2.0,1.2,10.0,-0.3,20.7,0.0,0.0,20.1,330.0,307.0,263.0,365.0,140.0,179.0,165.0,318.0,154.0,175.0,95.0,187.0,191.0,242.0,155.0,211.0,191.0,248.0,150.0,104.0,76.0,114.0,151.0,233.0,184.0,282.0,189.0,257.0,38.0,189.0,2023-24,10.899999999999999,0.5580357142857142,3.205946471870613e-05,34.813084112149525
T37,Paul Millsap,PF,DEN,31,2017,2019,3,"$90,000,000 ","$30,000,000 ",Free Agent,"$111,884,944.92 ",37294981.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Aaron Gordon,PF,DEN,26,2022,2025,4,"$86,640,001 ","$21,660,000 ",Veteran Extension,"$91,823,333.23 ",22955833.31,2021-22,203932.0,Aaron Gordon,Aaron,1610612743.0,DEN,26.0,75.0,46.0,29.0,0.613,31.7,5.8,11.1,0.52,1.2,3.5,0.335,2.3,3.1,0.743,1.7,4.2,5.9,2.5,1.8,0.6,0.6,0.7,2.0,2.7,15.0,4.3,27.5,6.0,0.0,26.9,46.0,32.0,171.0,167.0,82.0,81.0,106.0,106.0,189.0,189.0,265.0,88.0,82.0,327.0,71.0,92.0,71.0,150.0,89.0,285.0,119.0,78.0,203.0,87.0,91.0,36.0,103.0,85.0,40.0,105.0,2021-22,16.7,0.6017329910141207,4.911862943141216e-05,48.364485981308405
41,LeBron James,PF,LAL,35,2021,2022,2,"$85,655,532 ","$42,827,766 ",Maximum Veteran Extension,"$96,059,037.91 ",48029518.95,2020-21,2544.0,LeBron James,LeBron,1610612747.0,LAL,36.0,45.0,30.0,15.0,0.667,33.4,9.4,18.3,0.513,2.3,6.3,0.365,4.0,5.7,0.698,0.6,7.0,7.7,7.8,3.7,1.1,0.6,0.6,1.6,4.6,25.0,6.4,47.0,18.0,5.0,46.0,279.0,143.0,372.0,79.0,40.0,11.0,17.0,101.0,56.0,40.0,197.0,31.0,25.0,380.0,248.0,18.0,33.0,8.0,7.0,70.0,135.0,116.0,302.0,28.0,17.0,13.0,8.0,23.0,9.0,10.0,2020-21,27.900000000000006,0.6007304882737409,8.176634120917714e-05,74.29906542056075
42,Harrison Barnes,PF,SAC,26,2019,2022,4,"$85,000,000 ","$21,250,000 ",Free Agent,"$101,288,619.48 ",25322154.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Zach Randolph,PF,POR,23,2005,2010,6,"$84,333,334 ","$14,055,556 ",Rookie Extension,"$131,573,819.10 ",21928969.85,2004-05,2216.0,Zach Randolph,Zach,1610612757.0,POR,23.0,46.0,19.0,27.0,0.413,34.9,7.2,16.1,0.448,0.0,0.1,0.0,4.5,5.5,0.815,3.1,6.5,9.6,1.9,2.4,0.7,0.4,1.3,2.4,0.0,18.9,-2.0,34.2,22.0,0.0,32.6,304.0,294.0,230.0,316.0,54.0,28.0,25.0,184.0,301.0,295.0,301.0,33.0,32.0,113.0,17.0,18.0,14.0,161.0,39.0,155.0,147.0,9.0,157.0,15.0,35.0,349.0,41.0,30.0,14.0,37.0,2004-05,19.199999999999996,0.5102591792656587,5.647171766964749e-05,54.20560747663549
44,LaMarcus Aldridge,PF,SAS,29,2015,2018,4,"$84,072,030 ","$21,018,008 ",maximum,"$108,087,542.37 ",27021885.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rudy Gay,PF,MEM,23,2010,2014,5,"$82,302,690 ","$16,460,538 ",,"$114,982,254.21 ",22996450.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
